kp_id,grade,missing_fields
math-g2-down-u09-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-down-u09-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-down-u09-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-down-u10-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-down-u10-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-down-u10-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u01-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u01-k004,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u01-k006,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k004,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k005,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k006,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k007,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u04-k012,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u08-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u08-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u08-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u09-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u09-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u09-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u09-k004,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u10-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u10-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u11-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u12-k001,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u12-k002,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u12-k003,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u12-k004,g2,seedDifficulty|cognitiveLevel|type|maxSteps|numberRange
math-g2-up-u12-k005,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g2-up-u12-k006,g2,seedDifficulty|cognitiveLevel|type|maxSteps
math-g4-up-u09-k001,g4,type|maxSteps|numberRange
